ID,Beach,Patrol,Longitude,Latitude,Vistors,Rescues,Minor,Major,CPR,Casualties
45,Piha (North),Patrolled by United North Piha SLSC.,174.464135,-36.94365,50,1570,10,0,0,0
46,Piha (South),Patrolled by Piha SLSC.,174.467912,-36.956665,60,1490,2,2,2,0
47,Pukehina,Patrolled by Pukehina Surf Rescue.,176.484069,-37.760003,130,4,0,0,0,0
48,Red,Patrolled by Red Beach SLSC.,174.708087,-36.602265,990,14,3,4,1,0
49,Riversdale,Patrolled by Riversdale SLSC.,176.075563,-41.086953,10,4,3,0,0,0
50,Ruakaka,Patrolled by Ruakaka SLSC,174.46171,-35.909196,80,5,1,1,1,0
51,South Brighton,Patrolled by South Brighton SLSC.,172.738101,-43.521901,1740,14,11,0,0,0
52,Spencer Park,Patrolled by Spencer Park SLSC.,172.713747,-43.432276,980,11,3,2,0,0
53,St Clair,Patrolled by St Clair SLSC.,170.491435,-45.911451,1270,9,6,3,2,0
54,St Kilda,Patrolled by St Kilda SLSC.,170.512217,-45.908652,940,17,0,0,0,0
55,Sumner,Patrolled by Sumner SLSC.,172.756657,-43.565688,760,16,15,1,0,0
56,Sunset,Patrolled by Sunset Beach SLSC.,174.709997,-37.399346,30,1,0,0,0,0
57,Tahunanui,Patrolled by Nelson SLSC.,173.24697,-41.279209,410,12,11,0,0,0
58,Tairua,Patrolled by Tairua SLSC,175.862617,-36.995492,30,2,0,0,0,0
59,Takapuna,Patrolled by Regional Guards.,174.775701,-36.787996,1830,18,4,6,3,0
60,Taylors Mistake,Patrolled by Taylors Mistake SLSC.,172.776811,-43.583298,550,12,11,0,0,0
61,Thornton,Patrolled by Regional Guards.,176.878252,-37.908476,150,6,4,1,1,0
62,Titahi Bay,Patrolled by Titahi Bay SLSC.,174.835181,-41.106123,860,10,7,0,0,0
63,Tolaga Bay,Patrolled by Regional Guards.,178.305879,-38.366791,20,1,0,0,0,0
64,Waihi,Patrolled by Waihi SLSC.,175.938706,-37.396875,190,9,1,2,1,0
65,Waikanae,Patrolled by Waikanae SLSC.,178.016957,-38.671263,310,13,3,9,4,0
66,Waimairi,Patrolled by Waimairi SLSC.,172.724197,-43.485707,1170,11,0,0,0,0
67,Waimarama,Patrolled by Waimarama SLSC.,176.994225,-39.814635,30,2,0,0,0,0
68,Wainui,Patrolled by Wainui SLSC.,178.081266,-38.67886,890,13,7,4,1,0
69,Waiotahi,Patrolled by Opotiki SLSC.,177.240082,-37.991432,180,8,6,0,0,0
70,Waipu Cove,Patrolled by Waipu Cove SLSC.,174.506965,-36.02892,110,4,1,2,2,0
71,Waitara,Patrolled by Waitara Swimming & SLSC.,174.226856,-38.989102,220,16,6,9,7,0
72,Waiterere,Patrolled by Levin-Waiterere SLSC.,175.195595,-40.549149,150,4,0,0,0,0
73,Warrington,Patrolled by Warrington SLSC.,170.599995,-45.71457,70,2,1,1,1,0
74,Westshore,Patrolled by Westshore SLSC.,176.882908,-39.475061,1400,12,2,1,1,0
75,Whangamata,Patrolled by Whangamata SLSC.,175.879612,-37.214113,60,4,1,0,0,0
76,Whiritoa,Patrolled by Whiritoa SLSC.,175.902765,-37.283034,50,0,0,0,0,0
77,Whites Bay,Patrolled by Rairangi SLSC.,174.057448,-41.386485,30,0,0,0,0,0
78,Wiakuku,Patrolled by Waikuku Beach SLSC.,172.721649,-43.288054,300,12,0,0,0,0
79,Worser Bay,Patrolled by Worser Bay SLSC.,174.82898,-41.313225,1850,20,4,4,2,0
