ID,Beach,Patrol,Longitude,Latitude,Vistors,Rescues,Minor,Major,CPR,Casualties
29,North,Patrolled by North Beach SLSC.,172.727351,-43.493966,1050,11,8,1,1,0
30,Oakura,Patrolled by New Plymouth Old Boys SLSC.,173.946694,-39.11559,410,10,9,1,1,0
31,Ocean,Patrolled by Ocean Beach Kiwi SLSC.,177.011805,-39.742438,40,1,0,0,0,0
32,Ohope,Patrolled by Whakatane SLSC.,177.036162,-37.962989,560,11,6,0,0,0
33,Omaha,Patrolled by Omaha SLSC.,174.780963,-36.339526,100,5,4,0,0,0
34,Omanu,Patrolled by Omanu SLSC.,176.216117,-37.658337,1620,10,3,0,0,0
35,Onemana,Patrolled by Onemana Beach Community Rescue Service.,175.880256,-37.151868,50,4,3,1,0,0
36,Opunake,Patrolled by Opunake SLSC.,173.856508,-39.45843,80,3,2,0,0,0
37,Oreti,Patrolled by Oreti SLSC.,168.230703,-46.439247,290,7,3,0,0,0
38,Orewa,Patrolled by Orewa SLSC.,174.700062,-36.592876,380,12,9,1,1,0
39,Oriental Bay,Patrolled by Maranui SLSC.,174.793532,-41.291061,710,9,3,0,0,0
40,Otaki,Patrolled by Otaki SLSC.,175.11559,-40.736803,190,8,2,6,3,0
41,Paekakariki,Patrolled by Paekakariki SLSC.,174.958745,-40.974163,520,14,2,10,4,0
42,Pakiri,Patrolled by Regional Guards.,174.727582,-36.24468,20,3,2,0,0,0
43,Papamoa,Patrolled by Papamoa SLSC.,176.287007,-37.696454,1070,10,7,1,0,0
44,Pauanui,Patrolled by Pauanui SLSC.,175.867896,-37.017571,60,3,0,0,0,0
45,Piha (North),Patrolled by United North Piha SLSC.,174.464135,-36.94365,1850,10,1,2,1,0
46,Piha (South),Patrolled by Piha SLSC.,174.467912,-36.956665,1100,4,3,1,1,1
47,Pukehina,Patrolled by Pukehina Surf Rescue.,176.484069,-37.760003,50,3,2,1,1,0
48,Red,Patrolled by Red Beach SLSC.,174.708087,-36.602265,740,15,11,0,0,0
49,Riversdale,Patrolled by Riversdale SLSC.,176.075563,-41.086953,20,2,1,1,1,0
50,Ruakaka,Patrolled by Ruakaka SLSC,174.46171,-35.909196,60,8,6,2,2,0
51,South Brighton,Patrolled by South Brighton SLSC.,172.738101,-43.521901,1430,14,2,2,0,0
52,Spencer Park,Patrolled by Spencer Park SLSC.,172.713747,-43.432276,1130,11,1,2,1,0
53,St Clair,Patrolled by St Clair SLSC.,170.491435,-45.911451,1420,8,0,0,0,0
54,St Kilda,Patrolled by St Kilda SLSC.,170.512217,-45.908652,910,17,15,2,0,0
55,Sumner,Patrolled by Sumner SLSC.,172.756657,-43.565688,1700,15,3,0,0,0
56,Sunset,Patrolled by Sunset Beach SLSC.,174.709997,-37.399346,20,1,0,0,0,0
57,Tahunanui,Patrolled by Nelson SLSC.,173.24697,-41.279209,400,12,3,9,5,0
58,Tairua,Patrolled by Tairua SLSC,175.862617,-36.995492,40,3,0,0,0,0
59,Takapuna,Patrolled by Regional Guards.,174.775701,-36.787996,1040,14,2,6,5,0
60,Taylors Mistake,Patrolled by Taylors Mistake SLSC.,172.776811,-43.583298,570,10,5,4,1,0
61,Thornton,Patrolled by Regional Guards.,176.878252,-37.908476,190,6,1,1,1,0
62,Titahi Bay,Patrolled by Titahi Bay SLSC.,174.835181,-41.106123,1150,10,5,5,0,0
63,Tolaga Bay,Patrolled by Regional Guards.,178.305879,-38.366791,30,0,0,0,0,0
64,Waihi,Patrolled by Waihi SLSC.,175.938706,-37.396875,100,9,4,2,1,1
65,Waikanae,Patrolled by Waikanae SLSC.,178.016957,-38.671263,500,12,2,8,7,0
66,Waimairi,Patrolled by Waimairi SLSC.,172.724197,-43.485707,1510,11,7,2,1,1
67,Waimarama,Patrolled by Waimarama SLSC.,176.994225,-39.814635,20,2,1,0,0,0
68,Wainui,Patrolled by Wainui SLSC.,178.081266,-38.67886,310,11,7,3,3,0
69,Waiotahi,Patrolled by Opotiki SLSC.,177.240082,-37.991432,90,7,0,0,0,0
70,Waipu Cove,Patrolled by Waipu Cove SLSC.,174.506965,-36.02892,110,4,1,1,1,0
71,Waitara,Patrolled by Waitara Swimming & SLSC.,174.226856,-38.989102,400,15,13,1,1,0
72,Waiterere,Patrolled by Levin-Waiterere SLSC.,175.195595,-40.549149,170,5,0,0,0,0
73,Warrington,Patrolled by Warrington SLSC.,170.599995,-45.71457,30,3,2,1,1,0
74,Westshore,Patrolled by Westshore SLSC.,176.882908,-39.475061,670,30,9,6,1,0
75,Whangamata,Patrolled by Whangamata SLSC.,175.879612,-37.214113,110,4,2,1,0,0
76,Whiritoa,Patrolled by Whiritoa SLSC.,175.902765,-37.283034,80,1,0,0,0,0
77,Whites Bay,Patrolled by Rairangi SLSC.,174.057448,-41.386485,50,1,0,0,0,0
78,Wiakuku,Patrolled by Waikuku Beach SLSC.,172.721649,-43.288054,280,8,0,0,0,0
79,Worser Bay,Patrolled by Worser Bay SLSC.,174.82898,-41.313225,1940,17,15,0,0,0
