ID,Beach,Patrol,Longitude,Latitude,Vistors,Rescues,Minor,Major,CPR,Casualties
26,Muriwai,Patrolled by Muriwai Lifeguard Service.,174.425769,-36.82806,180,7,5,0,0,0
27,New Brighton,Patrolled by New Brighton SLSC.,172.73064,-43.503986,1640,11,5,4,2,0
28,Ngarunui,Patrolled by Raglan SLSC.,174.828873,-37.819073,50,4,1,2,1,0
29,North,Patrolled by North Beach SLSC.,172.727351,-43.493966,1260,13,5,5,0,0
30,Oakura,Patrolled by New Plymouth Old Boys SLSC.,173.946694,-39.11559,330,10,2,1,0,0
31,Ocean,Patrolled by Ocean Beach Kiwi SLSC.,177.011805,-39.742438,30,1,0,0,0,0
32,Ohope,Patrolled by Whakatane SLSC.,177.036162,-37.962989,310,10,6,4,2,0
33,Omaha,Patrolled by Omaha SLSC.,174.780963,-36.339526,150,5,1,0,0,0
34,Omanu,Patrolled by Omanu SLSC.,176.216117,-37.658337,1350,10,9,0,0,0
35,Onemana,Patrolled by Onemana Beach Community Rescue Service.,175.880256,-37.151868,110,5,0,0,0,0
36,Opunake,Patrolled by Opunake SLSC.,173.856508,-39.45843,50,2,1,0,0,0
37,Oreti,Patrolled by Oreti SLSC.,168.230703,-46.439247,100,8,0,0,0,0
38,Orewa,Patrolled by Orewa SLSC.,174.700062,-36.592876,760,12,1,3,3,0
39,Oriental Bay,Patrolled by Maranui SLSC.,174.793532,-41.291061,920,11,6,4,3,0
40,Otaki,Patrolled by Otaki SLSC.,175.11559,-40.736803,130,8,2,3,2,0
41,Paekakariki,Patrolled by Paekakariki SLSC.,174.958745,-40.974163,790,12,0,0,0,0
42,Pakiri,Patrolled by Regional Guards.,174.727582,-36.24468,30,2,1,1,0,0
43,Papamoa,Patrolled by Papamoa SLSC.,176.287007,-37.696454,1320,11,6,5,2,0
44,Pauanui,Patrolled by Pauanui SLSC.,175.867896,-37.017571,70,3,1,0,0,0
45,Piha (North),Patrolled by United North Piha SLSC.,174.464135,-36.94365,1800,26,10,2,0,1
46,Piha (South),Patrolled by Piha SLSC.,174.467912,-36.956665,1550,3,1,2,1,0
47,Pukehina,Patrolled by Pukehina Surf Rescue.,176.484069,-37.760003,110,3,2,0,0,0
48,Red,Patrolled by Red Beach SLSC.,174.708087,-36.602265,1120,14,2,6,0,0
49,Riversdale,Patrolled by Riversdale SLSC.,176.075563,-41.086953,20,2,1,0,0,0
50,Ruakaka,Patrolled by Ruakaka SLSC,174.46171,-35.909196,150,7,2,1,1,0
51,South Brighton,Patrolled by South Brighton SLSC.,172.738101,-43.521901,1420,14,7,5,0,0
52,Spencer Park,Patrolled by Spencer Park SLSC.,172.713747,-43.432276,1270,11,10,1,0,0
53,St Clair,Patrolled by St Clair SLSC.,170.491435,-45.911451,1630,9,3,1,0,0
54,St Kilda,Patrolled by St Kilda SLSC.,170.512217,-45.908652,1200,14,6,2,0,0
55,Sumner,Patrolled by Sumner SLSC.,172.756657,-43.565688,1020,17,14,1,1,0
56,Sunset,Patrolled by Sunset Beach SLSC.,174.709997,-37.399346,30,1,0,0,0,0
57,Tahunanui,Patrolled by Nelson SLSC.,173.24697,-41.279209,490,12,10,1,1,0
58,Tairua,Patrolled by Tairua SLSC,175.862617,-36.995492,30,2,0,0,0,0
59,Takapuna,Patrolled by Regional Guards.,174.775701,-36.787996,1360,14,10,1,1,0
60,Taylors Mistake,Patrolled by Taylors Mistake SLSC.,172.776811,-43.583298,560,12,11,0,0,0
61,Thornton,Patrolled by Regional Guards.,176.878252,-37.908476,180,7,4,0,0,0
62,Titahi Bay,Patrolled by Titahi Bay SLSC.,174.835181,-41.106123,1260,10,9,0,0,0
63,Tolaga Bay,Patrolled by Regional Guards.,178.305879,-38.366791,20,1,0,0,0,0
64,Waihi,Patrolled by Waihi SLSC.,175.938706,-37.396875,260,9,8,0,0,0
65,Waikanae,Patrolled by Waikanae SLSC.,178.016957,-38.671263,720,12,0,0,0,0
66,Waimairi,Patrolled by Waimairi SLSC.,172.724197,-43.485707,1250,12,9,3,1,0
67,Waimarama,Patrolled by Waimarama SLSC.,176.994225,-39.814635,30,1,0,0,0,0
68,Wainui,Patrolled by Wainui SLSC.,178.081266,-38.67886,580,11,5,3,1,0
69,Waiotahi,Patrolled by Opotiki SLSC.,177.240082,-37.991432,200,8,1,5,4,0
70,Waipu Cove,Patrolled by Waipu Cove SLSC.,174.506965,-36.02892,40,4,0,0,0,0
71,Waitara,Patrolled by Waitara Swimming & SLSC.,174.226856,-38.989102,170,14,8,6,1,0
72,Waiterere,Patrolled by Levin-Waiterere SLSC.,175.195595,-40.549149,130,5,1,0,0,0
73,Warrington,Patrolled by Warrington SLSC.,170.599995,-45.71457,90,2,1,0,0,0
74,Westshore,Patrolled by Westshore SLSC.,176.882908,-39.475061,700,16,7,2,2,0
75,Whangamata,Patrolled by Whangamata SLSC.,175.879612,-37.214113,100,3,0,0,0,0
76,Whiritoa,Patrolled by Whiritoa SLSC.,175.902765,-37.283034,100,3,2,0,0,0
77,Whites Bay,Patrolled by Rairangi SLSC.,174.057448,-41.386485,30,0,0,0,0,0
78,Wiakuku,Patrolled by Waikuku Beach SLSC.,172.721649,-43.288054,250,10,5,2,1,0
79,Worser Bay,Patrolled by Worser Bay SLSC.,174.82898,-41.313225,1270,20,10,8,6,0
